Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
0,443,7008742,1000.3221690854,6.1351951606,163.0465116279
1,49157,4290800,829.6821105621,2.7966812716,325.0833333333
0,443,4020555,1558.2425809372,9.2027095762,185.027027027
1,49157,3847259,925.3341144955,3.1191037567,325.0833333333
0,443,4137690,1514.1298647313,9.4255490382,175.5384615385
1,49157,3737299,952.5595891578,3.2108750196,325.0833333333
0,443,4154107,1508.1460347555,8.9068480903,185.027027027
1,49157,3948239,901.6678068374,3.039329686,325.0833333333
0,443,3925184,1596.1035202426,9.4263096966,185.027027027
1,49157,3671899,969.5255779094,3.2680637458,325.0833333333
0,443,3838556,1632.1241633573,10.1600706099,175.5384615385
1,49157,3618318,983.88256643,3.3164580891,325.0833333333
0,443,5074371,1234.6357804741,7.2915441145,185.027027027
1,49157,4394529,810.0981925481,2.7306680648,325.0833333333
0,443,4092139,1530.9841625614,9.0417260997,185.027027027
1,49157,3829395,929.6507672883,3.1336542718,325.0833333333
0,443,6019950,1137.218747664,6.6445734599,185.675
1,49157,4447352,800.476328386,2.6982348148,325.0833333333
0,443,3942492,1630.9481414293,9.8922204535,179.7692307692
1,49157,3813830,933.4448572695,3.1464433391,325.0833333333
0,443,3999929,1566.277801431,9.2501641904,185.027027027
1,49157,3730567,954.2785319229,3.2166692087,325.0833333333
0,443,3785234,1655.1156414637,10.0390094774,180.1578947368
1,49157,3621336,983.0626045194,3.3136941725,325.0833333333
0,443,4076810,1536.7407360166,9.3210132432,180.1578947368
1,49157,3758084,947.2912260609,3.1931164923,325.0833333333
0,443,3755539,1936.339896883,11.4497546158,182.6279069767
1,49157,3544181,1004.4633724971,3.3858315927,325.0833333333
0,443,4185328,1496.8958227408,9.0793361954,180.1578947368
1,49157,3851564,924.299842869,3.1156174479,325.0833333333
0,443,4041343,1550.2272388164,9.1553723601,185.027027027
1,49157,3823004,931.2048849543,3.1388928706,325.0833333333
0,443,3661364,1711.1109411684,10.1055235153,185.027027027
1,49157,3390302,1050.0539479964,3.5395076899,325.0833333333
0,443,3802257,1647.7055601449,9.7310623664,185.027027027
1,49157,3657717,973.2847019056,3.2807349502,325.0833333333
